File;Language;Corpus;Code;Age(Month);Sex;Group;Race;SES;Role;Education;Custom_field;Design;Activity;Group;Total_Utts;MLU_Utts;MLU_Words;MLU_Morphemes;MLU50_Utts;MLU50_Words;MLU50_Morphemes;FREQ_types;FREQ_tokens;FREQ_TTR;NDW_100;VOCD_D_optimum_average;Verbs_Utt;TD_Words;TD_Utts;TD_Time_(secs);TD_Words_Time;TD_Utts_Time;Word_Errors;Utt_Errors;retracing;repetition;DSS_Utts;DSS;IPSyn_Utts;IPSyn_Total;mor_Words;*-PRESP;in;on;*-PL;irr-PAST;*-POSS;u-cop;det:art;*-PAST;*-3S;irr-3S;u-aux;c-cop;c-aux;Total_non_zero_mors
Alex/Alex_010427.cha;eng;Providence;CHI;17;male;.;.;.;Target_Child;.;.;long;toyplay;TD;22;22;1;1;22;NA;NA;10;22;0.455;NA;NA;0.136;22;162;700;0.031;0.231;0;0;0;0;0;NA;8;NA;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alex/Alex_010512.cha;eng;Providence;CHI;17;male;.;.;.;Target_Child;.;.;long;toyplay;TD;16;15;1;1;15;NA;NA;7;16;0.438;NA;NA;0;16;201;1042;0.015;0.193;0;0;0;0;0;NA;6;NA;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alex/Alex_010526.cha;eng;Providence;CHI;18;male;.;.;.;Target_Child;.;.;long;toyplay;TD;26;26;1.154;1.154;26;NA;NA;13;30;0.433;NA;NA;0;30;255;874;0.034;0.292;0;0;0;0;0;NA;12;NA;30;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
Alex/Alex_010614.cha;eng;Providence;CHI;18;male;.;.;.;Target_Child;.;.;long;toyplay;TD;10;10;1.1;1.1;10;NA;NA;6;11;0.545;NA;NA;0;11;259;935;0.012;0.277;0;0;0;0;0;NA;5;NA;11;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
Alex/Alex_010707.cha;eng;Providence;CHI;19;male;.;.;.;Target_Child;.;.;long;toyplay;TD;45;36;3.528;3.528;36;NA;NA;17;160;0.106;6;0.71;0.044;160;260;923;0.173;0.282;0;0;0;0;0;NA;27;NA;160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alex/Alex_010726.cha;eng;Providence;CHI;20;male;.;.;.;Target_Child;.;.;long;toyplay;TD;125;101;1.406;1.574;50;1.58;1.86;36;213;0.169;28;4.86;0.312;217;408;1531;0.142;0.266;0;0;0;66;6;NA;47;NA;213;0;0;0;0;0;0;15;1;0;0;0;0;18;0;3
Alex/Alex_010811.cha;eng;Providence;CHI;20;male;.;.;.;Target_Child;.;.;long;toyplay;TD;122;107;1.561;1.617;50;1.42;1.5;50;193;0.259;34;7.77;0.074;188;373;1245;0.151;0.3;0;0;0;0;5;NA;50;9;193;1;0;0;0;0;0;3;5;0;0;0;0;4;1;5
Alex/Alex_010825.cha;eng;Providence;CHI;21;male;.;.;.;Target_Child;.;.;long;toyplay;TD;112;98;1.418;1.612;50;1.4;1.56;34;189;0.18;23;6.07;0.286;168;521;1698;0.099;0.307;0;0;0;14;8;NA;44;NA;189;0;0;0;0;0;0;6;2;0;0;0;0;24;0;3
Alex/Alex_010908.cha;eng;Providence;CHI;21;male;.;.;.;Target_Child;.;.;long;toyplay;TD;158;122;1.713;2.189;50;1.68;2.04;37;344;0.108;25;3.88;0.544;274;478;1755;0.156;0.272;0;0;0;0;6;NA;46;NA;344;0;0;0;0;5;0;0;0;0;0;0;0;70;0;2
Alex/Alex_010922.cha;eng;Providence;CHI;22;male;.;.;.;Target_Child;.;.;long;toyplay;TD;296;218;1.404;1.633;50;1.6;1.74;39;490;0.08;23;5.12;0.213;428;654;1920;0.223;0.341;0;0;0;0;3;NA;50;8;490;0;0;0;2;0;0;1;8;0;0;0;0;62;0;4
